device,event,n_student_params,run_name,teacher_cache_dir,teacher_cache_load_workers,teacher_cache_mode,teacher_cache_prefetch,run,loss_type,optimizer,beta,grad_norm,loss,lr,seconds,step,tokens_seen,train_loss_hard_teacher_margin,update_norm,ce_grad_signal_norm_beta,centered_logit_mse,distill_eval_loss,hard_teacher_margin,hard_teacher_xent,hard_xent,kernel_effective_rank,kernel_overlap_initial,kernel_overlap_teacher_target,kl_beta_prime_1,log_softmax_mse,logit_mse,student_effective_support_beta,student_entropy_beta,student_entropy_beta_prime_1,student_fisher_trace_beta,student_fisher_trace_beta_prime_1,student_teacher_argmax_acc,student_top1_conf_beta,student_true_acc,teacher_effective_support_beta,teacher_entropy_beta,teacher_entropy_beta_prime_1,teacher_fisher_trace_beta,teacher_margin,teacher_top1_conf_beta,teacher_true_acc,xent_beta_prime_1,path,train_kl_beta,train_loss_temp_xent,train_loss_temp_xent_unscaled,distill_eval_loss_unscaled,kl_beta,train_loss_centered_logit_mse,train_loss_raw_logit_mse,beta_label,condition
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,5.729772170638635,0.42944425344467163,0.0009307428635894209,67.3150999546051,440.0,903168.0,0.42944425344467163,0.7514009122065822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,11.45721146255666,0.3922402262687683,0.0009267249152181378,68.89644432067871,450.0,923648.0,0.3922402262687683,0.6522017053396768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,17.33419580701597,0.3383691608905792,0.000922603974016609,70.74847364425659,460.0,944128.0,0.3383691608905792,0.6917408340101925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,11.473066907484348,0.35639920830726624,0.0009183811666090118,71.65143775939941,470.0,964608.0,0.35639920830726624,0.5951523092183898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,8.26771801665791,0.41470015048980713,0.0009140576474687263,73.49620962142944,480.0,985088.0,0.41470015048980713,0.6092484996095012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,12.317019278710566,0.3654214143753052,0.0009096345986027161,74.7645800113678,490.0,1005568.0,0.3654214143753052,0.8794058456590041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,13.222555401873516,0.3453885316848755,0.0009051132292283771,76.62488913536072,500.0,1026048.0,0.3453885316848755,0.6046436939765981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,eval,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,,,,76.62730288505554,500.0,,,,0.994368851184845,10769.314453125,0.3280372619628906,0.3280372619628906,8.342269897460938,9.551830291748047,,,,5.587407112121582,11033.802734375,2417342.0,1.0,0.0,10.60895824432373,0.0,0.9999610185623169,0.296875,1.0,0.0390625,1.0,0.0,4.11316442489624,0.0,1.2421875,1.0,0.14453125,9.700571060180664,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,9.801345355663978,0.44164741039276123,0.0009004947754429507,78.14462566375732,510.0,1046528.0,0.44164741039276123,0.5628035176435005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,15.95680333000392,0.5896985530853271,0.0008957804998855866,79.41557121276855,520.0,1067008.0,0.5896985530853271,0.6691330428508908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
